customer_id,age,gender,location,registration_date,customer_segment,total_orders,total_spent,avg_order_value,last_purchase_date,churn_risk
C000001,41,Female,Ohio,2023-10-25,Occasional,3,1226.3,408.77,2025-07-12,Low
C000002,66,Male,New York,2023-04-08,Premium,7,1467.52,209.65,2023-08-29,High
C000003,28,Female,Pennsylvania,2024-10-24,Regular,0,0.0,0.0,,High
C000004,64,Male,Pennsylvania,2023-10-02,Regular,3,541.25,180.42,2024-01-05,Low
C000005,43,Female,Georgia,2023-04-27,Regular,4,1093.91,273.48,2024-03-04,Medium
C000006,48,Female,Texas,2024-12-07,Premium,1,497.6,497.6,2025-01-13,Low
C000007,64,Male,Texas,2024-12-13,Premium,2,323.54,161.77,2025-04-08,Medium
C000008,48,Female,Texas,2024-08-27,Occasional,3,1041.32,347.11,2025-08-02,Medium
C000009,57,Male,Texas,2024-01-03,Regular,5,467.78,93.56,2024-04-05,Medium
C000010,44,Female,New York,2023-04-26,Premium,8,2489.33,311.17,2024-06-25,Medium
C000011,38,Male,North Carolina,2024-11-01,Occasional,2,243.58,121.79,2025-04-16,High
C000012,32,Female,North Carolina,2024-08-01,Occasional,1,566.3,566.3,2024-12-01,High
C000013,57,Male,Ohio,2024-12-18,Occasional,2,268.35,134.17,2025-02-09,High
C000014,48,Female,Ohio,2023-09-12,Premium,2,1464.65,732.33,2023-10-24,High
C000015,21,Male,Texas,2024-09-19,Occasional,3,604.23,201.41,2025-02-20,Medium
C000016,28,Male,Georgia,2024-05-22,Regular,2,558.85,279.43,2024-07-22,Low
C000017,35,Male,North Carolina,2023-12-05,Premium,4,1491.35,372.84,2023-12-22,High
C000018,42,Female,Florida,2024-10-20,Premium,2,645.64,322.82,2025-03-28,Medium
C000019,69,Female,California,2024-03-30,Regular,1,315.25,315.25,2024-08-23,Medium
C000020,25,Female,New York,2023-11-20,Premium,2,884.9,442.45,2024-03-03,Medium
C000021,20,Male,California,2024-02-27,Occasional,4,529.43,132.36,2024-05-08,High
C000022,37,Male,Georgia,2024-10-14,Regular,1,56.87,56.87,2025-06-03,Medium
C000023,70,Male,Georgia,2023-02-25,Regular,3,514.01,171.34,2024-07-07,High
C000024,56,Female,Pennsylvania,2024-09-26,Occasional,3,316.45,105.48,2024-10-17,Medium
C000025,24,Male,New York,2023-04-27,Regular,4,2635.24,658.81,2025-02-17,Medium
C000026,69,Female,North Carolina,2024-10-10,Occasional,1,355.31,355.31,2024-12-02,Medium
C000027,24,Male,Texas,2024-12-19,Regular,4,1474.08,368.52,2025-04-27,Low
C000028,24,Female,Michigan,2024-02-24,Premium,2,243.37,121.68,2025-06-11,Low
C000029,43,Male,Georgia,2023-05-04,Premium,5,711.9,142.38,2023-09-06,High
C000030,24,Female,New York,2023-12-13,Occasional,3,1039.0,346.33,2024-05-30,High
C000031,25,Female,Georgia,2024-08-25,Occasional,1,91.11,91.11,2025-06-04,High
C000032,26,Female,New York,2024-05-31,Occasional,4,699.56,174.89,2025-01-06,High
C000033,53,Female,Michigan,2023-02-19,Regular,7,1690.57,241.51,2024-04-13,High
C000034,62,Male,Texas,2023-07-01,Premium,1,340.83,340.83,2023-12-05,Medium
C000035,56,Female,North Carolina,2024-11-04,Regular,2,64.87,32.44,2024-11-16,Medium
C000036,62,Male,Illinois,2024-09-15,Regular,1,25.72,25.72,2025-05-27,Medium
C000037,46,Male,Texas,2023-10-29,Regular,3,435.67,145.22,2025-05-01,High
C000038,65,Female,North Carolina,2024-12-17,Regular,1,99.05,99.05,2025-08-16,High
C000039,58,Male,Florida,2024-07-20,Premium,1,158.62,158.62,2025-04-14,High
C000040,61,Female,Texas,2023-10-25,Occasional,7,839.64,119.95,2023-11-03,High
C000041,50,Female,California,2023-07-02,Regular,6,789.58,131.6,2025-08-14,High
C000042,55,Female,North Carolina,2024-05-06,Regular,3,805.94,268.65,2024-08-16,Medium
C000043,51,Male,New York,2023-01-14,Regular,1,411.62,411.62,2023-09-13,Low
C000044,60,Male,Florida,2023-02-24,Regular,5,348.04,69.61,2025-06-07,Low
C000045,61,Female,Texas,2023-10-21,Premium,5,631.48,126.3,2025-05-01,High
C000046,31,Male,Pennsylvania,2023-10-30,Regular,4,1288.38,322.1,2024-09-11,Low
C000047,61,Male,North Carolina,2024-09-22,Regular,3,297.58,99.19,2024-11-20,Low
C000048,68,Female,New York,2024-06-07,Regular,4,309.81,77.45,2025-01-29,Medium
C000049,68,Female,North Carolina,2024-03-02,Premium,3,796.93,265.64,2024-06-14,Low
C000050,30,Female,Florida,2023-09-15,Occasional,7,1802.48,257.5,2024-11-08,High
C000051,59,Female,Michigan,2024-12-27,Occasional,3,958.57,319.52,2025-01-15,High
C000052,30,Male,Illinois,2024-09-09,Regular,2,344.18,172.09,2025-01-27,Low
C000053,22,Male,Texas,2024-11-30,Occasional,1,17.86,17.86,2025-04-03,High
C000054,42,Male,Ohio,2023-05-03,Regular,5,1090.33,218.07,2023-11-18,High
C000055,26,Male,Michigan,2023-09-28,Regular,7,1424.34,203.48,2024-06-13,Low
C000056,47,Male,New York,2023-12-05,Premium,6,816.74,136.12,2025-05-22,Medium
C000057,21,Female,Georgia,2024-09-03,Occasional,0,0.0,0.0,,High
C000058,22,Female,North Carolina,2024-01-02,Premium,4,459.61,114.9,2024-04-25,Low
C000059,22,Male,Ohio,2024-06-17,Occasional,1,186.3,186.3,2025-01-10,High
C000060,23,Female,Florida,2024-02-18,Premium,2,148.71,74.35,2024-11-24,High
C000061,39,Female,Illinois,2023-12-06,Premium,7,1368.8,195.54,2025-07-11,High
C000062,48,Male,California,2024-06-27,Occasional,4,1081.63,270.41,2024-07-25,Medium
C000063,33,Male,New York,2024-04-01,Occasional,4,539.68,134.92,2025-07-28,Medium
C000064,68,Male,Ohio,2024-01-26,Regular,3,443.08,147.69,2024-03-29,High
C000065,19,Female,North Carolina,2023-10-17,Occasional,3,283.09,94.36,2024-08-21,Medium
C000066,20,Female,Florida,2024-05-13,Regular,3,155.42,51.81,2025-08-01,High
C000067,24,Male,North Carolina,2023-03-26,Occasional,6,2395.18,399.2,2025-01-07,Low
C000068,22,Male,Florida,2024-10-03,Occasional,3,456.06,152.02,2024-11-01,Medium
C000069,31,Female,California,2023-04-17,Occasional,4,1335.26,333.82,2023-07-30,High
C000070,19,Female,Pennsylvania,2023-06-07,Premium,8,1002.38,125.3,2024-03-31,Low
C000071,21,Male,Illinois,2023-03-17,Occasional,4,1065.34,266.33,2025-03-17,Low
C000072,70,Male,Illinois,2024-08-11,Regular,3,775.31,258.44,2025-01-10,Medium
C000073,58,Female,Ohio,2024-04-06,Regular,1,123.21,123.21,2024-12-22,Low
C000074,61,Male,North Carolina,2024-02-03,Premium,4,467.6,116.9,2024-09-17,High
C000075,22,Male,California,2024-09-25,Regular,2,225.48,112.74,2024-12-09,High
C000076,36,Female,Michigan,2023-04-19,Premium,1,1312.31,1312.31,2025-04-16,Medium
C000077,42,Female,New York,2024-03-24,Regular,1,524.81,524.81,2024-07-14,Low
C000078,32,Male,Ohio,2024-06-30,Occasional,3,353.26,117.75,2024-07-27,Medium
C000079,27,Female,Pennsylvania,2024-10-11,Premium,4,987.99,247.0,2025-04-21,High
C000080,27,Male,New York,2024-07-22,Premium,3,419.11,139.7,2025-06-17,High
C000081,43,Male,Illinois,2024-09-02,Premium,6,1161.46,193.58,2025-07-24,High
C000082,31,Female,North Carolina,2023-12-19,Premium,0,0.0,0.0,,Low
C000083,32,Female,Florida,2023-07-08,Premium,6,785.22,130.87,2023-11-05,Low
C000084,69,Male,North Carolina,2024-11-18,Regular,2,43.1,21.55,2025-06-30,High
C000085,22,Female,California,2024-07-16,Regular,3,373.78,124.59,2024-10-15,Low
C000086,64,Female,Pennsylvania,2023-07-22,Regular,4,1397.6,349.4,2023-10-20,Low
C000087,59,Male,California,2024-11-18,Regular,2,598.47,299.24,2025-05-07,High
C000088,30,Female,Georgia,2023-03-13,Regular,7,2059.64,294.23,2024-11-24,Medium
C000089,60,Female,Michigan,2024-09-23,Premium,4,687.06,171.76,2025-02-28,High
C000090,41,Female,Ohio,2024-08-03,Premium,2,613.99,307.0,2024-11-12,Low
C000091,33,Male,Ohio,2023-11-17,Regular,3,185.37,61.79,2025-08-08,Medium
C000092,61,Female,Georgia,2023-05-18,Regular,5,796.69,159.34,2025-02-20,Medium
C000093,67,Female,Georgia,2024-01-03,Occasional,3,1634.88,544.96,2024-03-27,Low
C000094,59,Male,Illinois,2023-06-29,Premium,8,1307.15,163.39,2025-06-10,High
C000095,34,Male,California,2023-07-21,Premium,3,382.41,127.47,2024-12-24,High
C000096,19,Female,Michigan,2024-10-08,Premium,0,0.0,0.0,,Low
C000097,34,Female,Texas,2024-07-18,Regular,0,0.0,0.0,,Medium
C000098,67,Female,Texas,2023-08-17,Regular,3,533.9,177.97,2025-07-06,High
C000099,23,Female,Pennsylvania,2024-06-06,Occasional,4,1395.94,348.98,2025-02-22,Low
C000100,33,Male,North Carolina,2024-11-09,Premium,2,84.7,42.35,2025-07-23,Medium
C000101,29,Male,Georgia,2023-06-13,Regular,7,710.5,101.5,2025-06-08,Low
C000102,66,Female,Florida,2023-08-13,Premium,4,640.83,160.21,2023-12-16,Medium
C000103,32,Male,Florida,2024-01-14,Occasional,10,2719.84,271.98,2025-03-01,Medium
C000104,48,Female,New York,2024-02-02,Premium,3,917.61,305.87,2025-08-16,High
C000105,24,Female,Illinois,2023-11-28,Occasional,4,1229.57,307.39,2025-03-13,High
C000106,29,Female,Ohio,2024-08-06,Regular,2,431.72,215.86,2025-08-22,High
C000107,22,Female,Ohio,2024-10-31,Premium,2,299.42,149.71,2025-05-25,High
C000108,40,Female,Georgia,2024-02-20,Regular,4,1223.54,305.88,2024-09-22,High
C000109,50,Male,Georgia,2023-01-07,Premium,3,337.54,112.51,2025-02-06,Low
C000110,50,Female,Florida,2023-03-20,Premium,7,1150.29,164.33,2024-06-15,Low
C000111,41,Male,Florida,2023-06-11,Regular,2,300.21,150.1,2025-06-17,Medium
C000112,48,Female,Georgia,2023-04-27,Premium,4,508.37,127.09,2023-05-03,High
C000113,59,Female,New York,2023-06-15,Premium,6,517.42,86.24,2023-07-25,Low
C000114,54,Male,Texas,2023-05-11,Occasional,5,683.46,136.69,2023-08-23,High
C000115,54,Male,New York,2023-02-10,Premium,4,1273.9,318.47,2023-12-04,Medium
